book,open_date,pnl,DoW,Intraday_Move_OpenToEntry_11,Intraday_Move_OpenToEntry_1515,L1_SPX_ATR_Pct,L1_SPX_Drawdown_Pct,L1_TS,L1_VIX_Close,L1_VIX_pct,L1_rv20,L1_rv5,L1_vvix_above_ema20,L1_vvix_above_ema30,L1_vvix_close,L1_vvix_ema20,L1_vvix_ema30,L1_vvix_pct,VIX_Entry_11,VIX_Entry_1515,closing_vix,gap,movement,opening_vix,t0_VIX_change_from_close_11,t0_VIX_change_from_close_15
PUTS_0DTE_11,2022-09-26,-555.0,nan,16.97,-12.31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.28,31.54,nan,-10.51,16.97,nan,nan,nan
PUTS_0DTE_11,2022-09-27,-605.0,nan,10.75,-36.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.12,33.1,nan,31.4,10.75,nan,nan,nan
PUTS_0DTE_11,2022-09-28,3976.0,nan,27.42,69.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.01,30.37,nan,4.65,69.57,nan,nan,nan
PUTS_0DTE_11,2022-09-29,440.0,nan,-48.19,-59.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.69,32.31,nan,-32.03,-48.19,nan,nan,nan
PUTS_0DTE_11,2022-09-30,-580.0,nan,20.62,-27.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.15,31.69,nan,-6.99,20.62,nan,nan,nan
PUTS_0DTE_11,2022-10-03,375.0,nan,46.85,82.76,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.04,29.75,nan,24.16,46.85,nan,nan,nan
PUTS_0DTE_11,2022-10-04,400.0,nan,59.15,47.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.03,29.04,nan,48.03,59.15,nan,nan,nan
PUTS_0DTE_11,2022-10-05,5545.0,nan,-27.35,48.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,28.66,nan,-37.68,48.32,nan,nan,nan
PUTS_0DTE_11,2022-10-06,-595.0,nan,3.84,-25.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.07,30.57,nan,-11.31,3.84,nan,nan,nan
PUTS_0DTE_11,2022-10-07,-570.0,nan,-31.21,-71.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.01,31.42,nan,-37.78,-31.21,nan,nan,nan
